City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,alaghsas,17.0187,8.0168,23.4,15,5,4.87,NE,1699923320
144,ko pha ngan,9.7578,100.0291,24.38,73,100,6.46,TH,1699923377
145,ojinaga,29.5667,-104.4167,16.43,88,0,2.57,MX,1699923378
146,ad dabbah,18.05,30.95,26.65,35,97,4.12,SD,1699923378
147,richards bay,-28.783,32.0377,17.66,83,100,4.74,ZA,1699923187
148,zheleznogorsk,52.331,35.3711,3.81,78,100,6.31,RU,1699923378
149,culpeper,38.5004,-77.9664,7.79,77,0,0.45,US,1699923378
150,bathsheba,13.2167,-59.5167,28.34,74,20,9.26,BB,1699923378
151,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1699923379
152,flying fish cove,-10.4217,105.6791,25.82,78,100,3.6,CX,1699923379
153,salekhard,66.53,66.6019,-20.66,100,100,0.36,RU,1699923379
154,xining,36.6167,101.7667,0.31,53,0,0.87,CN,1699923379
155,east london,-33.0153,27.9116,15.94,73,99,2.85,ZA,1699923379
156,byron bay,-28.65,153.6167,27.06,69,55,3.71,AU,1699923379
157,olyokminsk,60.3736,120.4264,-9.27,94,100,1.98,RU,1699923380
158,levuka,50.1834,-105.4011,1.9,64,61,4.47,CA,1699923380
159,vila franca do campo,37.7167,-25.4333,17.23,99,67,1.85,PT,1699923380
160,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1699923226
161,raton,36.9034,-104.4391,9.19,31,0,4.12,US,1699923380
162,trooper,40.1498,-75.4018,7.53,72,0,0.45,US,1699923381
163,dunedin,-45.8742,170.5036,15.45,65,99,3.13,NZ,1699923247
164,andovoranto,-18.95,49.1,22.46,91,98,1.46,MG,1699923381
165,codrington,-38.2667,141.9667,15.67,62,100,4.18,AU,1699923381
166,howrah,22.5892,88.3103,20.0,88,20,3.09,IN,1699923381
167,horta,38.5333,-28.6333,15.57,90,100,1.34,PT,1699923382
168,idri,27.5,13.2667,17.96,54,96,3.5,LY,1699923382
169,puerto lempira,15.2667,-83.7667,26.12,90,100,3.11,HN,1699923382
170,marka,1.7159,44.7717,27.03,79,100,3.09,SO,1699923382
171,tralee,52.2704,-9.7026,11.08,88,100,6.19,IE,1699923383
172,puerto ayora,-0.7393,-90.3518,23.64,97,100,1.34,EC,1699923383
173,ust-nera,64.5667,143.2,-28.83,97,59,2.16,RU,1699923383
174,minas de marcona,-15.2119,-75.1103,14.48,87,67,5.82,PE,1699923383
175,mezhdurechenskiy,59.6,65.9333,0.65,97,100,5.22,RU,1699923383
176,shamakhi,40.6314,48.6414,10.89,66,76,2.42,AZ,1699923384
177,inhambane,-23.865,35.3833,21.71,68,100,6.51,MZ,1699923121
178,vorgashor,67.5833,63.95,-14.16,90,100,3.41,RU,1699923384
179,kiama,-34.6833,150.8667,25.77,66,48,5.68,AU,1699923384
180,yarmouth,41.7057,-70.2286,4.52,83,100,1.34,US,1699923384
181,banda aceh,5.5577,95.3222,26.67,84,100,3.97,ID,1699923385
182,palangkaraya,-2.2,113.8333,28.69,74,97,1.33,ID,1699923385
183,necochea,-38.5473,-58.7368,14.45,51,94,5.33,AR,1699923228
184,anadyr,64.75,177.4833,-11.72,72,13,10.0,RU,1699923385
185,sur,22.5667,59.5289,23.86,52,3,0.19,OM,1699923385
186,lompoc,34.6391,-120.4579,18.94,67,0,4.47,US,1699923258
187,flin flon,54.7682,-101.865,-0.09,86,75,2.06,CA,1699923385
188,nieuw amsterdam,5.8833,-55.0833,27.23,84,24,3.72,SR,1699923386
189,tabou,4.423,-7.3528,25.51,90,3,2.44,CI,1699923386
190,wagar,16.1525,36.2032,26.83,64,11,4.83,SD,1699923386
191,morris,40.8334,-74.5329,7.23,76,32,1.77,US,1699923168
192,nikolayevsk-on-amure,53.1406,140.73,-6.49,85,100,3.18,RU,1699923386
193,parana,-31.732,-60.5238,20.86,77,4,4.37,AR,1699923386
194,kerikeri,-35.2268,173.9474,22.17,68,100,1.34,NZ,1699923125
195,sandpoint,48.2766,-116.5533,6.36,87,100,3.6,US,1699923378
196,loreto,22.2667,-101.9667,18.19,63,100,5.99,MX,1699923358
197,kangding,30.0513,101.9603,9.86,34,9,2.36,CN,1699923387
198,lorengau,-2.0226,147.2712,27.96,80,100,2.86,PG,1699923158
199,severo-yeniseyskiy,60.3725,93.0408,-10.64,94,100,3.49,RU,1699923387
200,gereshk,31.8209,64.5701,13.8,34,10,2.31,AF,1699923388
201,sisimiut,66.9395,-53.6735,-8.79,78,100,3.51,GL,1699923388
202,port elizabeth,-33.918,25.5701,17.16,86,100,5.14,ZA,1699923288
203,tromso,69.6496,18.957,-7.99,86,56,0.0,NO,1699923388
204,bender,46.8306,29.4711,1.43,59,7,2.21,MD,1699923388
205,kitui,-1.367,38.0106,17.87,95,50,0.96,KE,1699923388
206,diawara,15.022,-12.5437,28.04,10,70,5.04,SN,1699923389
207,sirjan,29.452,55.6814,13.12,21,100,3.14,IR,1699923389
208,peine,52.3167,10.2333,12.58,85,100,3.58,DE,1699923389
209,salinopolis,-0.6136,-47.3561,26.69,80,62,4.92,BR,1699923121
210,bath,51.3779,-2.3591,12.17,89,95,8.75,GB,1699923245
211,pekan,3.4836,103.3996,26.06,84,100,2.02,MY,1699923389
212,qaqortoq,60.7167,-46.0333,-5.14,93,100,1.62,GL,1699923389
213,hilo,19.7297,-155.09,27.85,65,40,3.6,US,1699923327
214,alofi,-19.0595,-169.9187,25.94,89,100,5.66,NU,1699923390
215,morki,56.4303,48.9947,5.15,86,100,5.38,RU,1699923390
216,prince rupert,54.3161,-130.3201,6.83,78,75,2.57,CA,1699923098
217,axim,4.8699,-2.2405,25.87,89,0,2.06,GH,1699923165
218,antsiranana,-12.2787,49.2917,23.72,86,44,2.94,MG,1699923390
219,jamestown,42.097,-79.2353,8.77,75,0,4.12,US,1699923320
220,klyuchi,52.2667,79.1667,3.16,92,99,4.15,RU,1699923391
221,olonkinbyen,70.9221,-8.7187,-1.67,70,99,2.65,SJ,1699923391
222,coquimbo,-29.9533,-71.3436,14.85,82,0,3.6,CL,1699923391
223,constantia,44.1833,28.65,2.38,50,31,4.18,RO,1699923391
224,zaozersk,69.4005,32.4476,-13.08,100,93,1.1,RU,1699923391
225,avarua,-21.2078,-159.775,24.03,60,75,4.63,CK,1699923391
226,dhidhdhoo,6.8833,73.1,27.72,74,41,1.25,MV,1699923165
227,pajapan,18.25,-94.7,23.51,90,85,4.79,MX,1699923392
228,ciudad acuna,29.3232,-100.9522,15.16,88,100,2.06,MX,1699923392
229,ilulissat,69.2167,-51.1,-3.99,63,75,7.2,GL,1699923392
230,tomatlan,19.9333,-105.25,25.18,83,11,0.57,MX,1699923392
231,riverton,40.5219,-111.9391,14.36,26,0,4.47,US,1699923392
232,magadan,59.5667,150.8,-14.05,73,75,5.64,RU,1699923393
233,kill devil hills,36.0307,-75.676,9.99,80,0,0.0,US,1699923393
234,grand falls-windsor,48.9332,-55.6649,-2.93,88,41,1.94,CA,1699923393
235,walvis bay,-22.9575,14.5053,16.53,82,34,3.09,NA,1699923393
236,sitka,57.0531,-135.33,5.94,81,100,3.6,US,1699923393
237,daru,-9.0763,143.2092,28.95,58,28,3.56,PG,1699923393
238,portland,45.5234,-122.6762,12.12,83,100,0.45,US,1699923218
239,cestos city,5.46,-9.5828,26.17,87,95,2.3,LR,1699923394
240,al quwayrah,29.8004,35.3116,19.0,57,13,0.71,JO,1699923394
241,shahrak,34.1074,64.3052,2.43,35,1,1.84,AF,1699923394
242,uturoa,-16.7333,-151.4333,26.95,83,61,6.91,PF,1699923394
243,naze,28.3667,129.4833,16.51,59,80,3.74,JP,1699923394
244,aldinga beach,-35.2793,138.4604,18.9,83,100,4.17,AU,1699923189
245,aksu,41.1231,80.2644,3.09,43,0,1.66,CN,1699923395
246,pursat,12.3333,103.6667,26.38,79,92,2.24,KH,1699923395
247,rundu,-17.9333,19.7667,24.36,36,57,1.22,NA,1699923395
248,ballina,-28.8667,153.5667,27.1,70,72,4.3,AU,1699923395
249,zadar,44.1197,15.2422,14.34,94,75,4.12,HR,1699923395
250,laminusa,5.5549,120.9136,28.4,75,98,0.79,PH,1699923395
251,mana,5.6592,-53.7767,26.64,85,5,4.14,GF,1699923396
252,sanya,18.2431,109.505,26.09,69,0,7.0,CN,1699923396
253,al hudaydah,14.7978,42.9545,27.67,70,96,6.04,YE,1699923396
254,san ignacio de velasco,-16.3667,-60.95,28.43,51,1,2.79,BO,1699923396
255,ranau,5.9538,116.6641,26.43,75,46,1.0,MY,1699923396
256,esil,51.9556,66.4042,3.26,84,100,5.95,KZ,1699923396
257,hawaiian paradise park,19.5933,-154.9731,27.73,69,40,3.6,US,1699923396
258,pauini,-7.7136,-66.9764,25.11,85,30,1.35,BR,1699923397
259,lautoka,-17.6167,177.4667,31.92,58,75,4.63,FJ,1699923151
260,tateyama,34.9833,139.8667,13.95,45,3,2.36,JP,1699923397
261,bukoba,-1.3317,31.8122,17.63,88,73,2.14,TZ,1699923397
262,mammoth lakes,37.6485,-118.9721,3.4,28,0,1.54,US,1699923397
263,nemuro,43.3236,145.575,4.75,58,14,8.24,JP,1699923397
264,altamira,-3.2033,-52.2064,30.62,40,100,1.9,BR,1699923398
265,sanctuary point,-35.1114,150.629,22.89,63,97,3.36,AU,1699923398
266,yuktae-dong,40.0247,128.1597,5.55,42,100,1.42,KP,1699923398
267,dromore,54.5167,-7.4667,9.24,92,100,3.08,GB,1699923398
268,pong,19.1493,100.2752,22.52,97,87,0.32,TH,1699923398
269,vila velha,-20.3297,-40.2925,26.97,84,0,5.36,BR,1699923398
270,dryden,49.7833,-92.7503,1.16,80,40,2.57,CA,1699923399
271,sao jose da coroa grande,-8.8978,-35.1478,25.3,85,100,3.2,BR,1699923399
272,wewak,-3.5534,143.6268,28.88,74,99,1.05,PG,1699923399
273,javea,38.7833,0.1667,18.27,69,18,0.89,ES,1699923399
274,hacienda huancane,-15.8222,-70.8856,6.88,61,11,4.66,PE,1699923399
275,hithadhoo,-0.6,73.0833,27.05,81,70,3.87,MV,1699923399
